name_2,N_PERCENT_ASIAN,N_PERCENT_BLACK,N_PERCENT_HISPANIC,N_PERCENT_WHITE
Lake Park,8.340356930376345,19.35282835182796,2.1686497419139785,64.24466659731182
Parkwood,3.2184345276469197,24.087077320339652,7.450280303232227,58.42110882507109
Newhall Village,0.72815534,17.31391586,3.478964401,71.60194175
Audubon Park,0.7319290942403561,17.772402107240357,3.447994391495549,71.1771736815727
Wellington Forest,16.81547619,24.35515873,28.670634919999998,30.15873016
Woodlake,6.150438846940224,26.25609774368618,2.0271171891070985,63.48003799870486
Auburn Square,1.861832435,31.50416463,5.634492896,55.41401274
Auburn Hills,1.861832435,31.504164630000002,5.634492896,55.41401274
Auburn Park,1.861832435,31.50416463,5.634492896000001,55.41401274
South Terrace at Auburn,0.0,79.76625274,6.939371804,13.29437546
Penrith,2.702414358714286,55.162605768508406,11.926241203042016,28.867536829243697
Copper Creek,1.861832435,31.50416463,5.634492896,55.41401274
Fortune's Ridge,3.6109249912184875,6.361789929184874,4.098300128436975,81.51763804563025
Orchid Court,1.405975395,7.029876977,6.590509666,79.61335677
Thaxton,14.785672931384616,3.8215463270887575,2.2373411109881656,71.08556147289941
Elm Grove,14.800835273662551,3.954475435399177,2.246084047666667,70.94783274437037
Swallows Ridge,1.405975395,7.029876977,6.590509666,79.61335677
Wynstead,21.55207077,39.20386007,9.288299156,28.588661039999998
Belcrest,21.55207077,39.20386007,9.288299156,28.58866104
Stratford Lakes,0.417469493,54.49582531,28.19524727,15.54271034
Providence Ridge,2.52293578,42.35474006,16.13149847,36.16207951
Lochside,2.420260172263374,53.7030149854321,11.83484454071605,23.50580662802469
Emorywood Estates,2.423018677,49.01564866,30.18677436,17.74356386
Abercromby,3.370596586905983,57.742723214786324,10.213843590564101,26.09798155213675
Wynterfield,2.423018677,49.01564866,30.186774360000005,17.74356386
Rustica Oaks,21.79824561,39.69298246,0.0,37.93859649
Taylor Estates,0.0,21.01865136,0.0,72.30989957
Bradbury Glen,10.108286179505882,31.746805752352945,1.6513395603411767,50.306509580000004
Bradbury Trace,10.24868124,31.98944989,1.6201959310000003,50.03767898
Pagehurst,9.796533538235295,32.54856809588235,1.8226047265,49.58971711602941
Brightleaf at the Park,10.569105689999999,26.596980259999995,2.113821138,57.97909408
Stirrup Creek,10.24868124,31.98944989,1.620195931,50.03767898
Ashley Forest,4.281891169,21.67707404,2.943800178,61.46297948
Artisan at Brightleaf,10.56910569,26.59698026,2.113821138,57.97909408
Meadows of Pagehurst,0.0,44.66279589,6.208128629,39.88387673
Carolina Arbors,2.031694433,4.794798862,14.38439659,78.78911012
Townes at Brier Creek Crossing,11.81364393,21.21464226,4.076539101,61.64725458
Garret Farms - Porchlight / Hartley,14.19753086,20.37037037,0.396825397,53.92416226
Solterra,10.9975326,12.19598167,0.0,70.46175538
Arrowhead,10.9975326,12.19598167,0.0,70.46175538
Carillon Forest,10.9975326,12.19598167,0.0,70.46175538
Lochn'ora,10.9975326,12.19598167,0.0,70.46175538
Colony Hill,14.403292180000001,1.783264746,3.223593964,76.54320988
Colony Park,14.40329218,1.783264746,3.223593964,76.54320988
Bennet Place,0.0,6.994047619,18.75,69.64285714
