"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R824C",13,460099.750623441,0.554770786516854,0.385016443384615,46.3509665538462,0,45.6667602438461,0.569993333333333
"R824D",5,407021.791767554,0.576887534607779,0,33.20407174,1.793504605,58.84634028,0.589835135135135
"R824E",121,383416.458852868,0.568794048780488,0.123064469380165,11.5231306745289,10.6635572752479,67.5327106436364,0.615442857142857
"R824F",25,348406.676783005,0.597869907712591,0,1.925254813,32.27633069,61.49490374,0.615205263157895
"R824G",86,333572.319201995,0.530550920106316,7.5344312475,46.6735541488372,14.9167299816279,26.5105184383023,0.564803176064442
"R824H",17,362967.581047382,0.509749544892188,6.607142857,48.48214286,13.125,25.625,0.604753125
"R824I",19,306733.167082294,0.545934399216902,0.958627649,42.83551968,18.56710394,36.02421796,0.610613333333333
"R824J",23,391957.51138088,0.550129868667917,0.574534161478261,27.1639901026087,12.7374447808696,57.401476403913,0.574112977099237
"R825B",54,499360.665105067,0.568976206003752,2.08766819255556,16.3031726368519,1.20989933748148,71.90132327,0.605827722772277
"R825C",22,439001.752600426,0.55129634196611,0,33.20407174,1.793504605,58.84634028,0.603878231292517
"R825D",17,352231.920199501,0.611935436210131,0,33.20407174,1.793504605,58.84634028,0.607490384615385
"R825E",14,319165.402124431,0.532289664440778,5.368289638,21.47315855,2.684144819,69.60049938,0.552787356321839
"R825F",55,485660.847880299,0.832386434244746,0,33.20407174,1.793504605,58.84634028,0.882805383022774
"R825H",56,341840.694167465,0.600656032124855,9.936305732,20,0,70.06369427,0.643632251082251
"R825I",42,367696.074583517,0.555781724538118,0.417101147,46.3836333671429,0.0821676985476191,45.5560556097619,0.629390416143748
"R826B",9,372276.02905569,0.563901140225025,0,7.092198582,22.16312057,70.65602837,0.636951612903226
