"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_MED_SALES_RATIO"
"R840B",80,270503.903321937,0.477896833688699,0,17.76788891125,67.8235256271,13.821788399025,0.481127754990429
"R840C",57,440000,0.573893623273582,10.56625803,36.31056626,13.25160537,39.87157034,0.6021125
"R840D",31,334719.271623672,0.525587878787879,0,70.51993942,8.480565371,4.745078243,0.55054
"R840E",15,261305.007587253,0.479671918843082,0,23.2528695613333,59.8684354361333,13.2030005877333,0.524136
"R840F",17,299812.5,0.569547763477635,1.166827387,42.0241568329412,38.7708579982353,16.0448836094118,0.608173207036536
"R840G",32,315584.123672231,0.510639088731811,2.54636860103125,71.8519372140625,13.3655777447188,9.16130551115625,0.5611139392269
"R840H",49,553500,0.668416324559285,12.37263464,35.95342067,6.877729258,41.81222707,0.715420408163265
"R840I",92,490024.096385542,0.67060829368821,12.37263464,35.95342067,6.877729258,41.81222707,0.662528675691967
"R840J",58,527618.75,0.696189836251212,4.281891169,21.67707404,2.943800178,61.46297948,0.809819063922985
"R840K",8,377710.843373494,0.739654138504528,0,17.02786378,73.06501548,9.907120743,0.755504957028852
"R840L",7,435000,0.532463442636723,0,26.89486553,3.178484108,62.10268949,0.547410869565217
"R840M",42,453818.75,0.881587302689028,0,21.01865136,0,72.30989957,0.974970733863837
"R840N",50,458500,0.768715552249844,10.56625803,36.31056626,13.25160537,39.87157034,0.762784669956667
"R840S",83,478168.674698795,0.877175949950989,12.37263464,35.95342067,6.877729258,41.81222707,0.86660756501182
"R841A",27,390240.963855422,0.557491693177801,1.803278689,56.2295082,22.95081967,16.8852459,0.571428985507246
"R841B",15,282554.21686747,0.565201009251472,2.685421995,72.97527707,12.87297528,8.780903666,0.583166037735849
"R841C",7,334915.662650602,0.537095470383275,2.685421995,72.97527707,12.87297528,8.780903666,0.562743333333333
"R841D",133,262912.5,0.530636966463415,0.585543141766918,44.6217041189474,38.216231552406,12.2887879661955,0.58365
"R841E",32,219082.473444613,0.480190442937392,2.685421995,72.97527707,12.87297528,8.780903666,0.499889128935877
"R841F",7,287512.5,0.53019955654102,0,41.45818442,41.02930665,8.43459614,0.544648117839607
"R841G",7,273748.103186646,0.604812623274162,0,49.94011976,14.25149701,35.80838323,0.691045454545455
"R841H",36,295891.56626506,0.577075140712946,0,37.7058182908333,43.7804104120556,14.3640779088889,0.595006326530612
"R841I",15,290075,0.477553658536585,0,30.72143597,55.36762168,10.52813255,0.481646666666667
"R841J",78,417687.5,0.863852098622779,0,30.72143597,55.36762168,10.52813255,0.879171629082819
"R842A",16,377891.56626506,0.543729826791108,0,36.1671452775,41.190211418125,18.63016870375,0.546333676474174
"R842B",37,312943.854324734,0.520825515947467,0,43.16877153,22.96211251,29.04707233,0.561485809682805
"R842C",51,330000,0.566717148217636,0,29.2588593394118,49.6776740937255,19.2675863124706,0.579888392857143
"R842D",53,319108.43373494,0.49128069450186,0,33.763662794717,33.4597322913208,23.8641950308679,0.557048888888889
"R842E",13,311077.389984826,0.472575006445625,0,69.55752212,2.477876106,13.45132743,0.515282051282051
"R842T",33,431734.939759036,0.614687694013304,0,1.08401084,28.18428184,48.23848238,0.612826697892272
"R843A",25,184157.814871017,0.666673287671233,0.1460755964,47.5716948508,30.1126868756,14.84492197076,0.7826
"R843B",36,347910.31626506,0.515992277851829,0,26.38504155,51.10803324,21.32963989,0.536973809523809
"R843C",30,247924.931897545,0.623599624838619,0,26.38504155,51.10803324,21.32963989,0.679107307692308
"R843D",16,372500,0.534625385710552,0.043821209,54.99561788,14.59246275,24.40841367,0.615740573175788
"R846A",96,678312.5,0.646896032713899,0.790300546479167,13.1869088127083,6.89976519066667,77.0415780142708,0.721236760144466
"R846B",35,492000,0.600699873142009,0,14.42041043,5.823627288,78.86855241,0.639418319169027
"R846C",12,537968.992814962,0.536199879275654,5.836065574,5.31147541,13.7704918,65.37704918,0.562781752473717
"R847A",7,369000,0.59769376693767,0.434656620857143,35.20950212,12.6702405085714,48.8603327171429,0.63516
"R850A",30,641400,0.572446617138959,10.56910569,26.59698026,2.113821138,57.97909408,0.623398075053471
"R850B",87,484096.385542169,0.604042052512328,10.56625803,36.31056626,13.25160537,39.87157034,0.632328395061728
"R850C",14,473000,0.558295006715712,10.56625803,36.31056626,13.25160537,39.87157034,0.628709253246753
"R850D",16,604112.291350531,0.622614891598916,10.56910569,26.59698026,2.113821138,57.97909408,0.691163440380613
"R850E",38,622321.699544765,0.592154397096766,10.56910569,26.59698026,2.113821138,57.97909408,0.625310893473027
"R850F",39,569271.623672231,0.537651056910569,10.56910569,26.59698026,2.113821138,57.97909408,0.586542608695652
"R850G",50,565503.698786039,0.593942890961263,10.56910569,26.59698026,2.113821138,57.97909408,0.617049444444444
"R850H",24,460822.268588771,0.556347376777054,10.56910569,26.59698026,2.113821138,57.97909408,0.595111996792745
"R850I",108,489000,0.571839268730204,7.377616233,35.4648601032407,3.59278130746296,51.3907950506482,0.610326978639338
"R850J",115,425000,0.53955165798849,2.317198764,38.46549949,12.35839341,44.6961895,0.580442831215971
"R851A",68,408755.690440061,0.533914463175514,0,52.14477212,4.289544236,43.56568365,0.579468161474542
"R851B",113,323520.485584219,0.544569921455147,0,66.3830322663717,15.8499782970531,17.5714982962389,0.601346153846154
"R851C",45,307500,0.516112283431455,0,54.4761639533333,11.7582509433333,30.97488743,0.564254545454545
"R851D",71,315000,0.521948553054662,0,57.3774212867606,18.1304234466197,20.7032726342253,0.547774919614148
"R851E",9,355872.53414264,0.504009112229234,0,58.26446281,22.83057851,15.08264463,0.513121126760563
"R851F",48,261305.007587253,0.517652922330449,0.13083297,56.6283311158333,10.0716902463333,25.5054602039583,0.585425630252101
"R851P",42,412543.975903614,0.545641141912271,0.531638735238095,69.3596866457143,9.16264509952381,11.0443683442857,0.559355953174074
"R852A",83,358750,0.503926829268293,0.69777584,69.29786306,11.25163541,10.29219363,0.52864347826087
"R852B",84,405060.240963855,0.559964468312167,0.240898801904762,69.4678779207143,5.50691205619048,12.3606740942857,0.597723089983022
"R852C",27,327253.414264036,0.522747181964573,0,0,42.41948154,57.58051846,0.522747181964573
