"name_2","N_SALES_QUARTILE","N_OVER_UNDER","count"
"ALSON AND NIXON","Q3","accurate",9
"ALSON AND NIXON","Q3","over",2
"ALSON AND NIXON","Q3","under",21
"ALSON AND NIXON","Q4","accurate",11
"ALSON AND NIXON","Q4","over",5
"ALSON AND NIXON","Q4","under",17
"ALSTON AVE SOUTH","Q1","accurate",1
"ALSTON AVE SOUTH","Q1","over",1
"ALSTON AVE SOUTH","Q1","under",0
"ALSTON AVE SOUTH","Q2","accurate",1
"ALSTON AVE SOUTH","Q2","over",0
"ALSTON AVE SOUTH","Q2","under",1
"ALSTON AVE SOUTH","Q3","accurate",0
"ALSTON AVE SOUTH","Q3","over",1
"ALSTON AVE SOUTH","Q3","under",1
"ALSTON AVE SOUTH","Q4","accurate",0
"ALSTON AVE SOUTH","Q4","over",1
"ALSTON AVE SOUTH","Q4","under",1
"ALTDORF/BAHAMA WOODS","Q1","accurate",1
"ALTDORF/BAHAMA WOODS","Q1","over",1
"ALTDORF/BAHAMA WOODS","Q1","under",0
"ALTDORF/BAHAMA WOODS","Q2","accurate",2
"ALTDORF/BAHAMA WOODS","Q2","over",0
"ALTDORF/BAHAMA WOODS","Q2","under",0
"ALTDORF/BAHAMA WOODS","Q3","accurate",1
"ALTDORF/BAHAMA WOODS","Q3","over",0
"ALTDORF/BAHAMA WOODS","Q3","under",0
"ALTDORF/BAHAMA WOODS","Q4","accurate",1
"ALTDORF/BAHAMA WOODS","Q4","over",0
"ALTDORF/BAHAMA WOODS","Q4","under",1
"AMBER LYNN","Q1","accurate",2
"AMBER LYNN","Q1","over",4
"AMBER LYNN","Q1","under",0
"AMBER LYNN","Q2","accurate",3
"AMBER LYNN","Q2","over",2
"AMBER LYNN","Q2","under",0
"AMBER LYNN","Q3","accurate",4
"AMBER LYNN","Q3","over",0
"AMBER LYNN","Q3","under",1
"AMBER LYNN","Q4","accurate",4
"AMBER LYNN","Q4","over",0
"AMBER LYNN","Q4","under",1
"AMERICAN VILLAGE","Q1","accurate",11
"AMERICAN VILLAGE","Q1","over",12
"AMERICAN VILLAGE","Q1","under",0
"AMERICAN VILLAGE","Q2","accurate",14
"AMERICAN VILLAGE","Q2","over",5
"AMERICAN VILLAGE","Q2","under",3
"AMERICAN VILLAGE","Q3","accurate",7
"AMERICAN VILLAGE","Q3","over",6
"AMERICAN VILLAGE","Q3","under",9
"AMERICAN VILLAGE","Q4","accurate",13
"AMERICAN VILLAGE","Q4","over",3
"AMERICAN VILLAGE","Q4","under",6
"ANDERSON ST","Q1","accurate",1
"ANDERSON ST","Q1","over",4
"ANDERSON ST","Q1","under",0
"ANDERSON ST","Q2","accurate",1
"ANDERSON ST","Q2","over",1
"ANDERSON ST","Q2","under",2
"ANDERSON ST","Q3","accurate",4
"ANDERSON ST","Q3","over",0
"ANDERSON ST","Q3","under",0
"ANDERSON ST","Q4","accurate",0
"ANDERSON ST","Q4","over",0
"ANDERSON ST","Q4","under",4
"ANDERSON ST 2","Q1","accurate",1
"ANDERSON ST 2","Q1","over",5
"ANDERSON ST 2","Q1","under",0
"ANDERSON ST 2","Q2","accurate",3
"ANDERSON ST 2","Q2","over",2
"ANDERSON ST 2","Q2","under",1
"ANDERSON ST 2","Q3","accurate",5
"ANDERSON ST 2","Q3","over",0
"ANDERSON ST 2","Q3","under",1
"ANDERSON ST 2","Q4","accurate",2
"ANDERSON ST 2","Q4","over",0
"ANDERSON ST 2","Q4","under",4
"ANDREWS CHAPEL","Q1","accurate",19
"ANDREWS CHAPEL","Q1","over",20
"ANDREWS CHAPEL","Q1","under",0
"ANDREWS CHAPEL","Q2","accurate",36
"ANDREWS CHAPEL","Q2","over",1
"ANDREWS CHAPEL","Q2","under",1
"ANDREWS CHAPEL","Q3","accurate",35
"ANDREWS CHAPEL","Q3","over",0
"ANDREWS CHAPEL","Q3","under",3
"ANDREWS CHAPEL","Q4","accurate",17
"ANDREWS CHAPEL","Q4","over",0
"ANDREWS CHAPEL","Q4","under",21
"ANDREWS CHAPEL TOWNS","Q1","accurate",4
"ANDREWS CHAPEL TOWNS","Q1","over",2
"ANDREWS CHAPEL TOWNS","Q1","under",0
"ANDREWS CHAPEL TOWNS","Q2","accurate",4
"ANDREWS CHAPEL TOWNS","Q2","over",0
"ANDREWS CHAPEL TOWNS","Q2","under",1
"ANDREWS CHAPEL TOWNS","Q3","accurate",5
"ANDREWS CHAPEL TOWNS","Q3","over",0
"ANDREWS CHAPEL TOWNS","Q3","under",0
"ANDREWS CHAPEL TOWNS","Q4","accurate",2
"ANDREWS CHAPEL TOWNS","Q4","over",1
"ANDREWS CHAPEL TOWNS","Q4","under",2
"ARBORS","Q1","accurate",15
"ARBORS","Q1","over",99
"ARBORS","Q1","under",0
"ARBORS","Q2","accurate",73
"ARBORS","Q2","over",30
"ARBORS","Q2","under",11
"ARBORS","Q3","accurate",53
"ARBORS","Q3","over",6
"ARBORS","Q3","under",56
"ARBORS","Q4","accurate",32
"ARBORS","Q4","over",2
"ARBORS","Q4","under",78
"ARCHDALE AND ROXBORO","Q1","accurate",2
"ARCHDALE AND ROXBORO","Q1","over",16
"ARCHDALE AND ROXBORO","Q1","under",0
"ARCHDALE AND ROXBORO","Q2","accurate",5
"ARCHDALE AND ROXBORO","Q2","over",5
"ARCHDALE AND ROXBORO","Q2","under",7
"ARCHDALE AND ROXBORO","Q3","accurate",8
"ARCHDALE AND ROXBORO","Q3","over",1
"ARCHDALE AND ROXBORO","Q3","under",8
"ARCHDALE AND ROXBORO","Q4","accurate",4
"ARCHDALE AND ROXBORO","Q4","over",6
"ARCHDALE AND ROXBORO","Q4","under",7
"ARCHERWOODS","Q1","accurate",1
"ARCHERWOODS","Q1","over",4
"ARCHERWOODS","Q1","under",0
"ARCHERWOODS","Q2","accurate",1
"ARCHERWOODS","Q2","over",1
"ARCHERWOODS","Q2","under",2
"ARCHERWOODS","Q3","accurate",2
"ARCHERWOODS","Q3","over",0
"ARCHERWOODS","Q3","under",2
"ARCHERWOODS","Q4","accurate",2
"ARCHERWOODS","Q4","over",0
"ARCHERWOODS","Q4","under",3
"ARGONNE HILLS","Q1","accurate",3
"ARGONNE HILLS","Q1","over",3
"ARGONNE HILLS","Q1","under",0
"ARGONNE HILLS","Q2","accurate",4
"ARGONNE HILLS","Q2","over",2
"ARGONNE HILLS","Q2","under",0
"ARGONNE HILLS","Q3","accurate",2
"ARGONNE HILLS","Q3","over",0
"ARGONNE HILLS","Q3","under",3
"ARGONNE HILLS","Q4","accurate",2
"ARGONNE HILLS","Q4","over",0
"ARGONNE HILLS","Q4","under",4
"ASHFIELD PLACE","Q1","accurate",9
"ASHFIELD PLACE","Q1","over",4
"ASHFIELD PLACE","Q1","under",1
"ASHFIELD PLACE","Q2","accurate",7
"ASHFIELD PLACE","Q2","over",5
"ASHFIELD PLACE","Q2","under",1
"ASHFIELD PLACE","Q3","accurate",7
"ASHFIELD PLACE","Q3","over",0
"ASHFIELD PLACE","Q3","under",6
"ASHFIELD PLACE","Q4","accurate",10
"ASHFIELD PLACE","Q4","over",2
"ASHFIELD PLACE","Q4","under",2
"ASHLEY FIRST","Q1","accurate",4
"ASHLEY FIRST","Q1","over",6
"ASHLEY FIRST","Q1","under",0
"ASHLEY FIRST","Q2","accurate",5
"ASHLEY FIRST","Q2","over",4
"ASHLEY FIRST","Q2","under",0
"ASHLEY FIRST","Q3","accurate",5
"ASHLEY FIRST","Q3","over",2
"ASHLEY FIRST","Q3","under",2
"ASHLEY FIRST","Q4","accurate",2
"ASHLEY FIRST","Q4","over",0
"ASHLEY FIRST","Q4","under",7
"ASHTON HALL","Q1","accurate",14
"ASHTON HALL","Q1","over",8
"ASHTON HALL","Q1","under",0
"ASHTON HALL","Q2","accurate",19
"ASHTON HALL","Q2","over",3
"ASHTON HALL","Q2","under",0
"ASHTON HALL","Q3","accurate",12
"ASHTON HALL","Q3","over",1
"ASHTON HALL","Q3","under",8
"ASHTON HALL","Q4","accurate",5
"ASHTON HALL","Q4","over",1
"ASHTON HALL","Q4","under",16
"ATWATER TOWNHOMES","Q1","accurate",9
"ATWATER TOWNHOMES","Q1","over",9
"ATWATER TOWNHOMES","Q1","under",1
"ATWATER TOWNHOMES","Q2","accurate",18
"ATWATER TOWNHOMES","Q2","over",0
"ATWATER TOWNHOMES","Q2","under",1
"ATWATER TOWNHOMES","Q3","accurate",18
"ATWATER TOWNHOMES","Q3","over",0
"ATWATER TOWNHOMES","Q3","under",1
"ATWATER TOWNHOMES","Q4","accurate",16
"ATWATER TOWNHOMES","Q4","over",0
"ATWATER TOWNHOMES","Q4","under",3
"AUBURN","Q1","accurate",7
"AUBURN","Q1","over",4
"AUBURN","Q1","under",0
"AUBURN","Q2","accurate",6
"AUBURN","Q2","over",2
"AUBURN","Q2","under",3
"AUBURN","Q3","accurate",8
"AUBURN","Q3","over",0
"AUBURN","Q3","under",2
"AUBURN","Q4","accurate",6
"AUBURN","Q4","over",1
"AUBURN","Q4","under",4
"AUBURN SQUARE TOWNHOMES","Q1","accurate",11
"AUBURN SQUARE TOWNHOMES","Q1","over",6
"AUBURN SQUARE TOWNHOMES","Q1","under",0
"AUBURN SQUARE TOWNHOMES","Q2","accurate",13
"AUBURN SQUARE TOWNHOMES","Q2","over",3
"AUBURN SQUARE TOWNHOMES","Q2","under",0
"AUBURN SQUARE TOWNHOMES","Q3","accurate",14
"AUBURN SQUARE TOWNHOMES","Q3","over",0
"AUBURN SQUARE TOWNHOMES","Q3","under",2
"AUBURN SQUARE TOWNHOMES","Q4","accurate",13
"AUBURN SQUARE TOWNHOMES","Q4","over",0
"AUBURN SQUARE TOWNHOMES","Q4","under",3
"AUTUM LEAF","Q1","accurate",12
"AUTUM LEAF","Q1","over",9
"AUTUM LEAF","Q1","under",0
"AUTUM LEAF","Q2","accurate",13
"AUTUM LEAF","Q2","over",6
"AUTUM LEAF","Q2","under",3
"AUTUM LEAF","Q3","accurate",15
"AUTUM LEAF","Q3","over",2
"AUTUM LEAF","Q3","under",3
"AUTUM LEAF","Q4","accurate",14
"AUTUM LEAF","Q4","over",1
"AUTUM LEAF","Q4","under",6
"AUTUMN RIDGE","Q1","accurate",4
"AUTUMN RIDGE","Q1","over",4
"AUTUMN RIDGE","Q1","under",0
"AUTUMN RIDGE","Q2","accurate",1
"AUTUMN RIDGE","Q2","over",3
"AUTUMN RIDGE","Q2","under",3
"AUTUMN RIDGE","Q3","accurate",7
"AUTUMN RIDGE","Q3","over",0
"AUTUMN RIDGE","Q3","under",1
"AUTUMN RIDGE","Q4","accurate",1
"AUTUMN RIDGE","Q4","over",2
"AUTUMN RIDGE","Q4","under",4
"BAHAMA CENTRAL","Q1","accurate",0
"BAHAMA CENTRAL","Q1","over",2
"BAHAMA CENTRAL","Q1","under",0
"BAHAMA CENTRAL","Q2","accurate",1
"BAHAMA CENTRAL","Q2","over",0
"BAHAMA CENTRAL","Q2","under",0
