"VCS_block","VCS_SALES_QUARTILE","VCS_OVER_UNDER","count"
"D822L","Q2","accurate",0
"D822L","Q2","over",1
"D822L","Q2","under",0
"D822L","Q3","accurate",0
"D822L","Q3","over",0
"D822L","Q3","under",1
"D822L","Q4","accurate",2
"D822L","Q4","over",0
"D822L","Q4","under",0
"D822U","Q1","accurate",6
"D822U","Q1","over",0
"D822U","Q1","under",0
"D822U","Q2","accurate",3
"D822U","Q2","over",2
"D822U","Q2","under",1
"D822U","Q3","accurate",5
"D822U","Q3","over",0
"D822U","Q3","under",0
"D822U","Q4","accurate",1
"D822U","Q4","over",0
"D822U","Q4","under",5
"D831D","Q1","accurate",2
"D831D","Q1","over",0
"D831D","Q1","under",0
"D831D","Q2","accurate",0
"D831D","Q2","over",0
"D831D","Q2","under",1
"D831D","Q3","accurate",1
"D831D","Q3","over",0
"D831D","Q3","under",0
"D831D","Q4","accurate",1
"D831D","Q4","over",0
"D831D","Q4","under",0
"D831K","Q1","accurate",2
"D831K","Q1","over",2
"D831K","Q1","under",3
"D831K","Q2","accurate",0
"D831K","Q2","over",4
"D831K","Q2","under",2
"D831K","Q3","accurate",3
"D831K","Q3","over",1
"D831K","Q3","under",2
"D831K","Q4","accurate",3
"D831K","Q4","over",0
"D831K","Q4","under",3
"D834V","Q1","accurate",1
"D834V","Q1","over",0
"D834V","Q1","under",2
"D834V","Q2","accurate",1
"D834V","Q2","over",1
"D834V","Q2","under",1
"D834V","Q3","accurate",1
"D834V","Q3","over",1
"D834V","Q3","under",0
"D834V","Q4","accurate",2
"D834V","Q4","over",0
"D834V","Q4","under",1
"D840A","Q1","accurate",1
"D840A","Q1","over",3
"D840A","Q1","under",0
"D840A","Q2","accurate",3
"D840A","Q2","over",0
"D840A","Q2","under",0
"D840A","Q3","accurate",3
"D840A","Q3","over",0
"D840A","Q3","under",0
"D840A","Q4","accurate",0
"D840A","Q4","over",0
"D840A","Q4","under",4
"D841A","Q1","accurate",0
"D841A","Q1","over",3
"D841A","Q1","under",0
"D841A","Q2","accurate",0
"D841A","Q2","over",2
"D841A","Q2","under",0
"D841A","Q3","accurate",0
"D841A","Q3","over",0
"D841A","Q3","under",2
"D841A","Q4","accurate",0
"D841A","Q4","over",0
"D841A","Q4","under",3
"R707B","Q1","accurate",4
"R707B","Q1","over",1
"R707B","Q1","under",0
"R707B","Q2","accurate",4
"R707B","Q2","over",0
"R707B","Q2","under",0
"R707B","Q3","accurate",4
"R707B","Q3","over",0
"R707B","Q3","under",0
"R707B","Q4","accurate",2
"R707B","Q4","over",0
"R707B","Q4","under",3
"R707D","Q1","accurate",9
"R707D","Q1","over",11
"R707D","Q1","under",1
"R707D","Q2","accurate",19
"R707D","Q2","over",1
"R707D","Q2","under",0
"R707D","Q3","accurate",18
"R707D","Q3","over",0
"R707D","Q3","under",2
"R707D","Q4","accurate",10
"R707D","Q4","over",0
"R707D","Q4","under",11
"R707F","Q1","accurate",1
"R707F","Q1","over",0
"R707F","Q1","under",1
"R707F","Q2","accurate",1
"R707F","Q2","over",0
"R707F","Q2","under",0
"R707F","Q3","accurate",0
"R707F","Q3","over",0
"R707F","Q3","under",1
"R707F","Q4","accurate",1
"R707F","Q4","over",1
"R707F","Q4","under",0
"R707U","Q1","accurate",4
"R707U","Q1","over",1
"R707U","Q1","under",0
"R707U","Q2","accurate",3
"R707U","Q2","over",0
"R707U","Q2","under",2
"R707U","Q3","accurate",4
"R707U","Q3","over",0
"R707U","Q3","under",1
"R707U","Q4","accurate",2
"R707U","Q4","over",0
"R707U","Q4","under",3
"R708A","Q1","accurate",6
"R708A","Q1","over",5
"R708A","Q1","under",0
"R708A","Q2","accurate",7
"R708A","Q2","over",2
"R708A","Q2","under",2
"R708A","Q3","accurate",9
"R708A","Q3","over",1
"R708A","Q3","under",1
"R708A","Q4","accurate",7
"R708A","Q4","over",0
"R708A","Q4","under",4
"R708C","Q1","accurate",4
"R708C","Q1","over",10
"R708C","Q1","under",0
"R708C","Q2","accurate",5
"R708C","Q2","over",5
"R708C","Q2","under",3
"R708C","Q3","accurate",8
"R708C","Q3","over",1
"R708C","Q3","under",4
"R708C","Q4","accurate",9
"R708C","Q4","over",0
"R708C","Q4","under",5
"R708D","Q1","accurate",0
"R708D","Q1","over",3
"R708D","Q1","under",0
"R708D","Q2","accurate",2
"R708D","Q2","over",0
"R708D","Q2","under",0
"R708D","Q3","accurate",0
